cluster_id,family_tokens,districts,n_members,n_winners,total_wins,span,members,member_ids
F0861,rashida,dg khan|taunsa,2,0,0,2013-2024,"Rashida Malik (0W/1C, IND); Rashida Naseem (0W/2C, AATP|Aam Admi Tehreek Pakistan)",P06966|P10827
F0862,qureshi,dg khan,3,0,0,2013-2024,"Azhar ul Haq Qureshi Siddique (0W/1C, MQM); Hakeem Sheikh Mueen Ud Din Qureshi (0W/1C, IND); Izhar Ul Haq Qureshi Siddiqui (0W/2C, MQM)",P06979|P06983|P13847
F0863,bhatti,dg khan,2,0,0,2013-2024,"Jahangir Ahmad Bhatti (0W/1C, IND); Haji Abdul Rasheed Khan Bhatti (0W/1C, JUIF)",P06981|P13848
F0864,bodla,dg khan,2,0,0,2013-2018,"Mian Abdul Rehman Bodla (0W/1C, IND); Abdul Rehman So Mian Muhammad Akbar Bodla (0W/1C, TLP)",P06984|P10840
F0865,shabab,rajanpur,2,0,0,2013-2024,"Ghulam Muhayu Din Alias Shabab (0W/1C, IND); Ghulam Mohudin Urf Shabab (0W/2C, IND)",P07009|P10863
F0867,kherha,muzaffargarh,2,0,0,2013-2013,"Maulana Naveed Ahmad Kherha (0W/1C, JUIF); Maher Naveed Ahmad Kherha (0W/1C, PTI)",P07017|P07020
F0868,azad,muzaffargarh,2,0,0,2013-2024,"Maulana Muhammad Abdul Mabood Azad (0W/1C, JUIF); Syed Abdul Wadood Azad (0W/1C, JUIF)",P07038|P13737
F0869,perveen,kot addu|muzaffargarh,3,0,0,2013-2024,"Khalida Perveen (0W/2C, IND); Mst Zahida Perveen (0W/1C, IND); Azra Perveen (0W/1C, IND)",P07063|P10771|P10807
F0870,gujjar,layyah,2,0,0,2013-2013,"Chaudhery Asghar Ali Gujjar (0W/1C, JI); Naiz Muhammad Gujjar (0W/1C, PTI)",P07094|P07103
F0871,sewag,layyah,2,0,0,2013-2024,"Sahibzada Faiz ul Hassan Sewag (0W/1C, PMLN); Riaz Hussain Sewag (0W/1C, APML)",P07098|P13807
F0872,khitran,layyah,2,0,0,2013-2024,"Iftikhar Ali Khitran (0W/1C, PTI); Iftikhar Ali Babar Khitran (0W/1C, IND)",P07104|P13816
F0873,bukhsh,bahawalpur,2,0,0,2013-2024,"Malik Qadir Bukhsh (0W/1C, JUIF); Raheem Bukhsh (0W/3C, IND|JUIS|PKI-CA)",P07112|P07114
F0874,randhawa,bahawalpur,2,0,0,2013-2024,"Asad Iqbal Randhawa (0W/1C, IND); Muhammad Hakim Ali Randhawa (0W/1C, IND)",P07119|P13639
F0875,waaran,bahawalpur,2,0,0,2013-2013,"Sardar Malik Jahangeer Waaran (0W/1C, IND); Sardar Malik Jahan Zaib Waaran (0W/1C, IND)",P07124|P07127
F0877,goheer,bahawalpur,2,0,0,2013-2024,"Muhammad Bilal Goheer (0W/1C, IND); Mian Farzand Ali Goheer (0W/1C, IND)",P07135|P13667
F0878,javaid,bahawalpur,3,0,0,2013-2013,"Choudhry Muhammad Javaid (0W/1C, IND); Sardar Javaid Iqbal (0W/1C, IND); Rao Muhammad Javaid Iqbal (0W/1C, JUIS)",P07138|P07141|P07150
F0879,lal,bahawalpur,2,0,0,2013-2024,"Lala Akmal Lal Bheel (0W/1C, IND); Lala Ajmal Lal Bhail (0W/1C, IND)",P07153|P13641
F0880,joyia,bahawalnagar,2,0,0,2013-2013,"Shokat Ali Joyia Laleka (0W/1C, IND); Doctor Hafiz Mohammad Sarwar Joyia (0W/1C, MQM)",P07170|P07172
F0881,akuka,bahawalnagar,2,0,0,2013-2013,"Haji Sardar Ahmad Khan Akuka (0W/1C, IND); Ghazanfar Amin Alias Moon Akuka (0W/1C, IND)",P07171|P07175
F0883,wahla,bahawalnagar,2,0,0,2013-2013,"Ch Munawer Hussain Wahla (0W/1C, IND); Ch Nasir Ali Wahla (0W/1C, IND)",P07195|P07205
F0884,hashmi,rahimyar khan,4,0,0,2013-2018,"Makhdoom Imad Ud Din Hashmi (0W/2C, IND|PTI); Makhdoom Moin Ud Din Ali Hashmi (0W/1C, PMLN); Makhdoom Muhammad Irtaza Hashmi (0W/1C, IND); Makhdoom Adeel Ur Rahman Hashmi (0W/1C, IND)",P07232|P07233|P07235|P07243
