pid,existing,hist_name,hist_years,hist_dists,exist_years,exist_dists,evidence
P01844,Sufi M. Habib Khan Warsi,Sufi Muhammad Habib Khan Warsi,1990,thatta,1997,thatta,di+d
P00564,Syed Shafqat Hussain Shah Sheerazi,Syed Shafqat Hussain Shah Sheerazi,1990,thatta,1993|1997|2013|2018,sujawal|thatta,sq+dL30
P00566,Syed Ghulam Akram Shah Sheerazi,Syed Ghulam Akram Shah Sheerazi,1990,thatta,1993,thatta,sq+dL27
P00577,M. Irfan Khan,Muhammad Irfan Khan,1990,karachi west,1993|1997,karachi west,di+d
P01851,Molana M. Abdul Rehman Farooqi,Muhammad Abdul Rehman Farooqi,1990,karachi west,1997,karachi west,di+d
P00711,Khalil Ahmad Nanitalwala,Khalil Ahmad Nanitalwala,1990,karachi west,1993,karachi east,sqL22
P01884,Syed Hassan Raza,Syed Hassan Raza,1990,karachi central,1997,karachi central,sq+dL14
P00625,Ahmad,Ahmad,1990,karachi south,1993,karachi south,sq+dL5
P11333,ABDUL HABIB,Abdul Habib,1990,karachi south,2018,karachi south,sq+d+rare di10 GAP28
P00653,Abdul Qadir Lakhani,Abdul Qadir Lakhani,1990,karachi south,1993,karachi south,sq+dL17
P01960,Sardar Akhtar Ali Baloch,Sardar Akhtar Ali Baloch,1990,karachi east,1997,malir cum karachi east,sqL21
P01093,Bashir Ahmad Khan,Bashir Ahmad Khan,1990,pishin,1993,bhakkar,sqL15
P00793,Nawab M. Ayyaz Khan Jogezai,Nawab Muhammad Ayaz Khan Jogezai,1990,zhob,1993|1997|2002|2024,quetta|sherani cum zhob cum killa saifullah|zhob cum killa saifullah,sqL28
P02054,Khair Jan Baloch,Khair Jan Baloch,1990,khuzdar,1997,khuzdar cum awaran,sqL14
