year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1985,NA-134,Sahiwal,Punjab,Rai Ahmed Nawaz,Independent,52597,43.9,,,4.7,5
1985,NA-135,Sahiwal,Punjab,Mian Ghulam Muhammad Ahmad Khan Manika,Independent,62236,53.3,,,10.3,3
1985,NA-136,Sahiwal,Punjab,Raja Shahid Saeed Khan,Independent,43040,39.3,,,16.3,4
1985,NA-137,Okara,Punjab,Mian Muhammad Zaman,Independent,64889,49.1,,,2.6,4
1985,NA-138,Okara,Punjab,Syed Sajjad Haider,Independent,70980,53.0,,,19.1,6
1985,NA-139,Okara,Punjab,Mian Muhammad Yasin Khan Wattoo,Independent,70173,49.1,,,1.9,4
1985,NA-140,Bahawalpur,Punjab,Shahzada Saeed ur Rasheed Mahmood   Abbasi,Independent,57122,61.1,,,44.8,5
1985,NA-141,Bahawalpur II,Punjab,Chaudhary Mumtaz Ahmed Jajja,Independent,33638,34.1,,,2.9,6
1985,NA-142,Bahawalpur,Punjab,Syed Tasneem Nawaz Gardezi,Independent,51686,54.2,,,27.4,5
1985,NA-143,Bahawalpur Bahawalnagar,Punjab,Sahibzada Mian Noor Hassan,Independent,36727,39.6,,,10.5,5
1985,NA-144,Bahawalnagar,Punjab,Syed Muhammad Ahmad Shah,Independent,42415,43.6,,,18.8,4
1985,NA-145,Bahawalnagar,Punjab,Mian Abdul Sattar Laleka,Independent,45069,47.7,,,15.4,5
1985,NA-146,Bahawalnagar,Punjab,Chaudhary Abdul Ghafoor,Independent,59440,50.6,,,4.3,4
1985,NA-147,Rahim Yar Khan,Punjab,Syed Ahmad Alam Anwar,Independent,76231,63.3,,,26.5,2
1985,NA-148,Rahim Yar Khan,Punjab,Haji Muhammad Saifullah Khan,Independent,59775,53.7,,,13.4,5
1985,NA-149,Rahim Yar Khan,Punjab,Makhdoom Imaduddin,Independent,59723,54.8,,,13.5,3
